cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(3);[player] Reverse Layup (cnt PTS);1027;293.54;279.73;40.43;27;31.96;22.74;25.93;8.36;12.22;8.38;6.86;7.87;8.54;7.56;6.06;3.66
_1(3);[player] [dist] Running Reverse Layup (cnt PTS);945;3.8;3.05;21.36;23.28;19.03;15.16;32.04;71.43;51.18;64.79;70.88;77.87;80.27;74.83;100.76;76.92
_1(3);[player] Finger Roll Layup (cnt PTS);418;110.27;99.09;11.44;17.69;11.42;15.16;13.73;6.08;9.17;6.1;5.34;1.75;5.98;3.02;2.27;9.16
_1(3);[player] Running Finger Roll Layup (cnt PTS);294;15.97;14.48;NA;NA;2.28;1.52;7.63;25.08;18.33;19.05;19.05;35;24.77;12.85;22.73;29.3
_1(3);[player] [dist] Cutting Layup Shot (cnt PTS);179;NA;NA;NA;NA;NA;NA;NA;14.44;10.7;17.53;13.72;10.5;16.23;23.43;24.24;20.15
_1(3);[player] [dist] Running Tip Shot (cnt PTS);134;1.52;1.52;8.39;9.31;19.79;29.57;33.56;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3);[player] Running Reverse Layup (cnt PTS);85;10.65;7.62;0.76;1.86;2.28;3.03;3.81;3.8;3.82;2.29;6.1;6.12;2.56;4.54;6.06;1.83
_1(3);[player] Running Tip Shot (cnt PTS);41;9.13;6.86;3.05;2.79;0.76;3.03;6.1;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3);[player] [dist] Cutting Finger Roll Layup Shot (cnt PTS);29;NA;NA;NA;NA;NA;NA;NA;7.6;1.53;3.81;1.52;1.75;2.56;2.27;0.76;1.83
_1(3);[player] Cutting Layup Shot (cnt PTS);13;NA;NA;NA;NA;NA;NA;NA;1.52;1.53;1.52;NA;1.75;0.85;0.76;1.52;1.83
_1(3);[player] [dist] Running Alley Oop Layup Shot (cnt PTS);3;NA;NA;NA;NA;NA;NA;NA;1.52;NA;0.76;NA;NA;NA;NA;NA;NA
_1(3);[player] Alley Oop Layup (cnt PTS);2;NA;1.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3);[player] Cutting Finger Roll Layup Shot (cnt PTS);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;0.85;NA;NA;NA
_1(3);[player] [dist] Alley Oop Layup (cnt PTS);1;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3a);[player] [dist] Layup (cnt PTS) ([player] cnt AST);69595;1330.8;1647.87;6007.63;6286.78;6347.03;6228.96;5958.05;3484.04;3103.9;2940.55;2652.44;2111.11;2063.19;2071.05;1648.48;1752.75
_1(3a);[player] [dist] Driving Layup (cnt PTS) ([player] cnt AST);37803;418.25;548.02;1526.32;1382.68;1608.83;1830.17;1913.81;1722.64;1596.64;2160.82;2679.88;2649.17;2731.85;2563.11;2880.3;3448.72
_1(3a);[player] [dist] Cutting Layup Shot (cnt PTS) ([player] cnt AST);28900;NA;NA;NA;NA;NA;NA;NA;1952.89;2284.95;2794.21;2881.1;2898.51;2862.51;2786.85;2993.94;2910.26
_1(3a);[player] Layup (cnt PTS) ([player] cnt AST);20832;5438.78;5817.84;709.38;723.46;753.42;709.63;713.2;343.47;320.86;102.9;96.8;68.24;87.11;62.74;41.67;49.45
_1(3a);[player] [dist] Running Layup (cnt PTS) ([player] cnt AST);15207;119.39;179.88;288.33;322.16;353.88;370.74;385.96;912.61;883.88;975.61;1051.83;1021;1236.55;1309.9;1671.97;1935.9
_1(3a);[player] [dist] Reverse Layup (cnt PTS) ([player] cnt AST);12300;171.1;208.08;792.52;864.99;833.33;809.7;769.64;659.57;652.41;701.98;618.9;589.68;577.28;569.92;603.03;562.27
_1(3a);[player] [dist] Driving Finger Roll Layup (cnt PTS) ([player] cnt AST);9352;44.11;57.16;147.98;155.49;181.89;220.62;251.72;352.58;386.55;561.74;807.93;888.89;844.58;907.79;1036.36;1203.3
_1(3a);[player] [dist] Alley Oop Layup (cnt PTS) ([player] cnt AST);7203;66.16;103.66;385.2;312.85;321.16;305.53;348.59;407.29;391.9;522.1;520.58;461.94;478.22;448.22;406.06;408.42
_1(3a);[player] Driving Layup (cnt PTS) ([player] cnt AST);5081;1132.32;1282.77;105.26;117.32;130.14;143.29;139.59;128.42;161.19;75.46;108.99;85.74;96.5;100.53;71.97;75.09
_1(3a);[player] [dist] Driving Reverse Layup (cnt PTS) ([player] cnt AST);4804;30.42;64.79;143.4;133.15;154.49;165.28;189.17;220.36;235.29;303.35;391.01;397.2;377.46;361.3;412.88;459.71
_1(3a);[player] [dist] Cutting Finger Roll Layup Shot (cnt PTS) ([player] cnt AST);4006;NA;NA;NA;NA;NA;NA;NA;243.92;305.58;312.5;407.77;461.94;386.85;428.57;438.64;390.11
